"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AQUIFEX_00001",423.935457212809,-0.131155120539635,0.114996905489719,-1.14050999877871,0.254073889451676,0.998912159871704
"AQUIFEX_00002",146.308027309505,-0.106924459853132,0.19060308755194,-0.560979684151208,0.574811386767868,0.998912159871704
"AQUIFEX_00003",0,NA,NA,NA,NA,NA
"AQUIFEX_00004",144.56466135349,0.0263607390699205,0.190351523417743,0.138484518519295,0.88985750415634,0.998912159871704
"AQUIFEX_00005",122.09269297922,0.184668771620899,0.207994827286755,0.887852712636468,0.374619983891114,0.998912159871704
"AQUIFEX_00006",0,NA,NA,NA,NA,NA
"AQUIFEX_00007",187.744231300769,-0.029132600752549,0.171318986452728,-0.170048874066784,0.864971700384851,0.998912159871704
"AQUIFEX_00008",138.819052581753,0.251273908608776,0.198052652421316,1.26872276405691,0.204539960469081,0.998912159871704
"AQUIFEX_00009",0,NA,NA,NA,NA,NA
"AQUIFEX_00010",124.344933118613,0.0825278723136883,0.21200719562921,0.389269204136001,0.697077014820463,0.998912159871704
"AQUIFEX_00011",85.3861845121515,-0.0153532928723881,0.247736058475731,-0.0619743971340052,0.950583220925486,0.998912159871704
"AQUIFEX_00012",0,NA,NA,NA,NA,NA
"AQUIFEX_00013",0,NA,NA,NA,NA,NA
"AQUIFEX_00014",127.825281639106,0.0805358558078855,0.212560989315296,0.378883519818517,0.704774362713881,0.998912159871704
"AQUIFEX_00015",107.10933097513,-0.0994660973438838,0.224133230260631,-0.443781126199897,0.657200835253305,0.998912159871704
"AQUIFEX_00016",227.700249223884,0.0331497127734998,0.155339564581411,0.213401607393631,0.831013726861603,0.998912159871704
"AQUIFEX_00017",266.394101768052,-0.109433608274261,0.141960352362481,-0.770874448063033,0.440781353925522,0.998912159871704
"AQUIFEX_00018",0,NA,NA,NA,NA,NA
"AQUIFEX_00019",219.962726064774,-0.0673363988724421,0.153968738228482,-0.437338122317521,0.661866152020178,0.998912159871704
"AQUIFEX_00020",0,NA,NA,NA,NA,NA
"AQUIFEX_00021",96.6190625904792,-0.200133662360982,0.232982316122868,-0.859007952583996,0.390336128496654,0.998912159871704
"AQUIFEX_00022",352.541085336892,0.0587132614718424,0.124690128423813,0.470873373971354,0.63773116309296,0.998912159871704
"AQUIFEX_00023",95.3792081028,-0.0137082504916735,0.238764926208142,-0.0574131666211453,0.954216074856301,0.998912159871704
"AQUIFEX_00024",249.674973854943,0.128551436345286,0.14662165846346,0.876756119746955,0.380619117639961,0.998912159871704
"AQUIFEX_00025",261.67288031097,0.122629241245623,0.147843207359267,0.829454686731923,0.406847167528157,0.998912159871704
"AQUIFEX_00026",290.376192786962,0.0833638268303625,0.136154814663793,0.612272338926926,0.540357587599644,0.998912159871704
"AQUIFEX_00027",269.398384126574,-0.118964257388669,0.146942449536287,-0.809597619776246,0.418171476550762,0.998912159871704
"AQUIFEX_00028",106.356035863895,-0.066209175792123,0.227399150865396,-0.291158412598093,0.770930167246632,0.998912159871704
"AQUIFEX_00029",97.8785077200626,0.00136391723561086,0.241188522396842,0.00565498400196142,0.995487999621353,0.998912159871704
"AQUIFEX_00030",179.762682856007,-0.102769266388112,0.167531774049458,-0.613431493644739,0.539591067283007,0.998912159871704
"AQUIFEX_00031",114.351205035692,-0.112033532621972,0.225490013809066,-0.496844763674705,0.61929852579502,0.998912159871704
